x y species dbh height age
79.84 21.02 piab 6.5 5.4 58
94.08 0.36 piab 7.25 5.1 56
97.85 4.26 piab 9.75 6.9 67
98.23 1.3 piab 7 5.7 60
99.19 2.82 piab 7.25 5.8 60
97 1.85 piab 6.5 6.8 66
98.01 0.25 piab 8.25 7.2 68
97.23 2.66 piab 7.25 6.6 65
95.39 0.55 piab 7 6.4 64
95.07 5.47 piab 8.75 8.3 75
73.62 13.6 fasy 14.25 9.1 92
96.27 1.78 piab 9.5 7.9 73
90.15 4.48 piab 6.75 6.4 64
91.79 3.65 piab 9 8.5 76
92.52 2.6 piab 8 7.4 70
90.75 6.68 piab 13 7.9 73
91.45 4.4 piab 10 9.2 81
92.85 4.36 piab 9 7.7 71
94.43 3.28 piab 7.25 7.3 69
92.69 5.25 piab 7 6.7 65
95.16 5.52 piab 11.75 8 73
93.48 3.14 piab 7.5 7.1 68
91.4 1.71 piab 9 7.4 70
90.44 3.2 piab 7.75 6.3 63
97.02 4.19 piab 6.25 5.8 60
92.49 0.55 piab 8.5 5.6 59
83.76 2.76 piab 11.75 8.8 78
93.46 1.58 piab 6 5.9 61
83.19 2.12 piab 10 7.9 73
82.43 0.58 piab 9 7.8 72
70.06 8.68 piab 8 6.7 65
63.5 4.44 piab 13.5 8.6 77
59.87 4.02 piab 8 6.9 67
61.46 4.9 piab 11.5 8.9 79
64.3 8.92 piab 6 5.5 58
60.49 5.16 piab 8.5 8.9 79
63.79 9.44 piab 6.75 5.3 57
64.94 8.01 piab 8 7.7 71
62.09 6.64 fasy 8 6.6 73
62.09 6.64 fasy 6 6.5 72
71.3 8.53 piab 7.25 5.4 58
65.35 8.93 piab 6.25 5.6 59
58.62 2.74 piab 8.5 7.7 71
63.41 0.81 piab 8.25 7.6 71
62.46 0.51 piab 10.5 9.7 84
56.46 1.79 piab 8 8.2 74
55.97 1.43 piab 9.25 8 73
57.79 2.62 piab 11.25 8.5 76
57.14 1.63 piab 6 7.4 70
61.16 1.25 piab 14.5 10.3 88
69.19 10.31 piab 6.75 5.8 60
59.94 0.4 piab 9.5 8.8 78
59.47 6.12 piab 8 7.5 70
63.46 5.56 piab 5.5 5.3 57
60.3 9.2 piab 6.5 4.9 55
62.52 7.6 piab 5.75 6.2 62
58.8 9.61 piab 8.75 6.5 64
59.14 6.95 piab 8.25 6.9 67
57.92 7.36 piab 6 6.1 62
60.66 10.51 piab 6.25 5.2 57
57.83 8.97 piab 6.5 5.4 58
70.22 10.82 piab 7.5 6.2 62
51.64 2.74 piab 6 5.7 60
57.85 6.45 piab 10.25 7.5 70
52.9 3.51 fasy 13 6.8 74
53.76 6.57 piab 6.5 5.7 60
55.19 7.49 piab 5.75 5.3 57
55.88 5.21 piab 5.5 4.2 50
50.7 4.38 piab 6.5 6.1 62
55.58 0.42 piab 7 5.7 60
45.56 77.61 piab 6 4.6 53
18.95 59.72 piab 7 5.9 61
4.73 56.15 piab 6.75 3.7 47
11.08 62.02 piab 9.25 5.6 59
1.96 56.74 piab 6 4.2 50
0.25 56.66 piab 8 6 61
1.29 58.12 piab 6.5 4.5 52
0.79 60.1 piab 8 6 61
2.8 58.7 piab 5.75 4.3 51
40.19 60.97 piab 6.25 4.8 54
41.53 61.04 piab 7 4.3 51
36.34 61.9 piab 7 5.3 57
32.72 61.54 piab 6.5 5.2 57
36.13 60.29 piab 6.5 5.2 57
19.93 57.25 piab 9 6.4 64
39.4 62.92 piab 5.5 6 61
30.41 60.82 piab 8 5.2 57
33.72 61.45 piab 5.5 4.1 50
48.21 83.29 fasy 8.75 6.3 71
33.47 59.53 piab 9 6.9 67
18.95 56.06 piab 7.75 5.3 57
18.27 56.6 piab 7.5 5.7 60
44.44 67.28 piab 6 5.6 59
48.17 63.37 piab 7.75 4.9 55
49.44 55.71 piab 7.75 5.6 59
48.97 55.19 piab 5.25 3.8 48
47.4 62.27 piab 6 4.2 50
45.61 65.12 piab 6.5 4.7 54
43.12 59.16 piab 7.75 6.7 65
29.84 71.02 piab 6.5 5.4 58
44.08 50.36 piab 7.25 5.1 56
47.85 54.26 piab 9.75 6.9 67
48.23 51.3 piab 7 5.7 60
49.19 52.82 piab 7.25 5.8 60
47 51.85 piab 6.5 6.8 66
48.01 50.25 piab 8.25 7.2 68
47.23 52.66 piab 7.25 6.6 65
45.39 50.55 piab 7 6.4 64
45.07 55.47 piab 8.75 8.3 75
23.62 63.6 fasy 14.25 9.1 92
46.27 51.78 piab 9.5 7.9 73
40.15 54.48 piab 6.75 6.4 64
41.79 53.65 piab 9 8.5 76
42.52 52.6 piab 8 7.4 70
40.75 56.68 piab 13 7.9 73
41.45 54.4 piab 10 9.2 81
42.85 54.36 piab 9 7.7 71
44.43 53.28 piab 7.25 7.3 69
42.69 55.25 piab 7 6.7 65
45.16 55.52 piab 11.75 8 73
43.48 53.14 piab 7.5 7.1 68
41.4 51.71 piab 9 7.4 70
40.44 53.2 piab 7.75 6.3 63
47.02 54.19 piab 6.25 5.8 60
42.49 50.55 piab 8.5 5.6 59
33.76 52.76 piab 11.75 8.8 78
43.46 51.58 piab 6 5.9 61
33.19 52.12 piab 10 7.9 73
32.43 50.58 piab 9 7.8 72
20.06 58.68 piab 8 6.7 65
13.5 54.44 piab 13.5 8.6 77
9.87 54.02 piab 8 6.9 67
11.46 54.9 piab 11.5 8.9 79
14.3 58.92 piab 6 5.5 58
10.49 55.16 piab 8.5 8.9 79
13.79 59.44 piab 6.75 5.3 57
14.94 58.01 piab 8 7.7 71
12.09 56.64 fasy 8 6.6 73
12.09 56.64 fasy 6 6.5 72
21.3 58.53 piab 7.25 5.4 58
15.35 58.93 piab 6.25 5.6 59
8.62 52.74 piab 8.5 7.7 71
13.41 50.81 piab 8.25 7.6 71
12.46 50.51 piab 10.5 9.7 84
6.46 51.79 piab 8 8.2 74
5.97 51.43 piab 9.25 8 73
7.79 52.62 piab 11.25 8.5 76
7.14 51.63 piab 6 7.4 70
11.16 51.25 piab 14.5 10.3 88
19.19 60.31 piab 6.75 5.8 60
9.94 50.4 piab 9.5 8.8 78
9.47 56.12 piab 8 7.5 70
13.46 55.56 piab 5.5 5.3 57
10.3 59.2 piab 6.5 4.9 55
12.52 57.6 piab 5.75 6.2 62
8.8 59.61 piab 8.75 6.5 64
9.14 56.95 piab 8.25 6.9 67
7.92 57.36 piab 6 6.1 62
10.66 60.51 piab 6.25 5.2 57
7.83 58.97 piab 6.5 5.4 58
20.22 60.82 piab 7.5 6.2 62
1.64 52.74 piab 6 5.7 60
7.85 56.45 piab 10.25 7.5 70
2.9 53.51 fasy 13 6.8 74
3.76 56.57 piab 6.5 5.7 60
5.19 57.49 piab 5.75 5.3 57
5.88 55.21 piab 5.5 4.2 50
0.7 54.38 piab 6.5 6.1 62
5.58 50.42 piab 7 5.7 60
95.56 77.61 piab 6 4.6 53
68.95 59.72 piab 7 5.9 61
54.73 56.15 piab 6.75 3.7 47
61.08 62.02 piab 9.25 5.6 59
51.96 56.74 piab 6 4.2 50
50.25 56.66 piab 8 6 61
51.29 58.12 piab 6.5 4.5 52
50.79 60.1 piab 8 6 61
52.8 58.7 piab 5.75 4.3 51
90.19 60.97 piab 6.25 4.8 54
91.53 61.04 piab 7 4.3 51
86.34 61.9 piab 7 5.3 57
82.72 61.54 piab 6.5 5.2 57
86.13 60.29 piab 6.5 5.2 57
69.93 57.25 piab 9 6.4 64
89.4 62.92 piab 5.5 6 61
80.41 60.82 piab 8 5.2 57
83.72 61.45 piab 5.5 4.1 50
98.21 83.29 fasy 8.75 6.3 71
83.47 59.53 piab 9 6.9 67
68.95 56.06 piab 7.75 5.3 57
68.27 56.6 piab 7.5 5.7 60
94.44 67.28 piab 6 5.6 59
98.17 63.37 piab 7.75 4.9 55
99.44 55.71 piab 7.75 5.6 59
98.97 55.19 piab 5.25 3.8 48
97.4 62.27 piab 6 4.2 50
95.61 65.12 piab 6.5 4.7 54
93.12 59.16 piab 7.75 6.7 65
79.84 71.02 piab 6.5 5.4 58
94.08 50.36 piab 7.25 5.1 56
97.85 54.26 piab 9.75 6.9 67
98.23 51.3 piab 7 5.7 60
99.19 52.82 piab 7.25 5.8 60
97 51.85 piab 6.5 6.8 66
98.01 50.25 piab 8.25 7.2 68
97.23 52.66 piab 7.25 6.6 65
95.39 50.55 piab 7 6.4 64
95.07 55.47 piab 8.75 8.3 75
73.62 63.6 fasy 14.25 9.1 92
96.27 51.78 piab 9.5 7.9 73
90.15 54.48 piab 6.75 6.4 64
91.79 53.65 piab 9 8.5 76
92.52 52.6 piab 8 7.4 70
90.75 56.68 piab 13 7.9 73
91.45 54.4 piab 10 9.2 81
92.85 54.36 piab 9 7.7 71
94.43 53.28 piab 7.25 7.3 69
92.69 55.25 piab 7 6.7 65
95.16 55.52 piab 11.75 8 73
93.48 53.14 piab 7.5 7.1 68
91.4 51.71 piab 9 7.4 70
90.44 53.2 piab 7.75 6.3 63
97.02 54.19 piab 6.25 5.8 60
92.49 50.55 piab 8.5 5.6 59
83.76 52.76 piab 11.75 8.8 78
93.46 51.58 piab 6 5.9 61
83.19 52.12 piab 10 7.9 73
82.43 50.58 piab 9 7.8 72
70.06 58.68 piab 8 6.7 65
63.5 54.44 piab 13.5 8.6 77
59.87 54.02 piab 8 6.9 67
61.46 54.9 piab 11.5 8.9 79
64.3 58.92 piab 6 5.5 58
60.49 55.16 piab 8.5 8.9 79
63.79 59.44 piab 6.75 5.3 57
64.94 58.01 piab 8 7.7 71
62.09 56.64 fasy 8 6.6 73
62.09 56.64 fasy 6 6.5 72
71.3 58.53 piab 7.25 5.4 58
65.35 58.93 piab 6.25 5.6 59
58.62 52.74 piab 8.5 7.7 71
63.41 50.81 piab 8.25 7.6 71
62.46 50.51 piab 10.5 9.7 84
56.46 51.79 piab 8 8.2 74
55.97 51.43 piab 9.25 8 73
57.79 52.62 piab 11.25 8.5 76
57.14 51.63 piab 6 7.4 70
61.16 51.25 piab 14.5 10.3 88
69.19 60.31 piab 6.75 5.8 60
59.94 50.4 piab 9.5 8.8 78
59.47 56.12 piab 8 7.5 70
63.46 55.56 piab 5.5 5.3 57
60.3 59.2 piab 6.5 4.9 55
62.52 57.6 piab 5.75 6.2 62
58.8 59.61 piab 8.75 6.5 64
59.14 56.95 piab 8.25 6.9 67
57.92 57.36 piab 6 6.1 62
60.66 60.51 piab 6.25 5.2 57
57.83 58.97 piab 6.5 5.4 58
70.22 60.82 piab 7.5 6.2 62
51.64 52.74 piab 6 5.7 60
57.85 56.45 piab 10.25 7.5 70
52.9 53.51 fasy 13 6.8 74
53.76 56.57 piab 6.5 5.7 60
55.19 57.49 piab 5.75 5.3 57
55.88 55.21 piab 5.5 4.2 50
50.7 54.38 piab 6.5 6.1 62
55.58 50.42 piab 7 5.7 60
