x y species dbh height age
16.24 72.61 piab 8.5 6.1 17
6.75 73.27 lade 8 5.9 14
17.51 74.78 piab 7.75 5.2 15
19.5 72.51 piab 5 4 13
18.84 71.47 piab 6.5 4.6 14
10.59 69.43 piab 5.25 4.1 13
12.04 69.72 piab 5.25 3.6 13
20.91 65.32 lade 6 4.2 11
21.52 70.1 piab 5.25 4.6 14
22.37 70.99 piab 5.5 4.5 14
25.05 72.06 piab 7.75 5.9 16
24.77 74.12 piab 12.5 7.1 18
2.49 76.03 piab 9 6 17
25.87 73.02 piab 7 5.7 16
21.62 75.01 piab 6.25 5 15
19.86 77.86 piab 5 5.6 16
24.31 76.27 piab 5.25 3.9 13
27.69 75.85 piab 7 4.2 14
28.95 75.62 piab 6.25 4.5 14
27.55 72.01 piab 6 5.2 15
27.15 70.8 piab 7.5 5.3 15
26.45 70.55 piab 6.25 5.7 16
28.53 69.47 piab 6.5 4.8 15
0.25 77.22 piab 6.25 5.5 16
28.65 69.44 piab 5.5 3.5 12
24.58 65.78 piab 6 4.5 14
31.81 71.2 piab 7.5 4.9 15
32.15 72 piab 6.75 5.6 16
31.82 73.86 piab 5 3.8 13
31.86 77.54 piab 6 5 15
34.9 76.29 piab 5.75 4.3 14
34 68.54 piab 7 4.3 14
38.23 68.33 piab 5.75 4.8 15
39.48 68.17 piab 5.75 4 13
39.91 65.17 piab 5.75 4 13
39.64 71.51 piab 7.5 4.1 13
39.75 76.14 piab 8 5.9 16
43.09 76.3 piab 6.75 4.8 15
44.99 74.81 piab 8.75 5.5 16
43.76 69.2 piab 5.5 3.8 13
45.74 64.91 piab 5 4.4 14
49.34 57.6 piab 6 3.8 13
47.8 54.55 piab 5.25 3.8 13
0.84 78.61 piab 6.75 5.7 16
2.4 78.49 piab 6 4.8 15
3.53 77.26 piab 6 4.7 14
3.36 78.51 piab 5.75 5.1 15
18.43 50.25 soau 9 6.4 13
2.48 51.58 piab 11.5 7.5 19
54.17 73.52 fasy 8.75 6.3 14
54.72 76.36 piab 6.75 4.5 14
57.57 75.36 piab 5.75 3.8 13
56.99 76.98 piab 6.5 5.3 15
59.11 76.63 piab 5.25 4 13
59.53 75.05 piab 7.25 5.5 16
61.63 76.53 piab 6 4.1 13
62.63 73.84 lade 6 5.2 13
63.22 76.59 piab 5.75 4.4 14
65.07 76.3 piab 6.75 4.6 14
66.24 72.61 piab 8.5 6.1 17
56.75 73.27 lade 8 5.9 14
67.51 74.78 piab 7.75 5.2 15
69.5 72.51 piab 5 4 13
68.84 71.47 piab 6.5 4.6 14
60.59 69.43 piab 5.25 4.1 13
62.04 69.72 piab 5.25 3.6 13
70.91 65.32 lade 6 4.2 11
71.52 70.1 piab 5.25 4.6 14
72.37 70.99 piab 5.5 4.5 14
75.05 72.06 piab 7.75 5.9 16
74.77 74.12 piab 12.5 7.1 18
52.49 76.03 piab 9 6 17
75.87 73.02 piab 7 5.7 16
71.62 75.01 piab 6.25 5 15
69.86 77.86 piab 5 5.6 16
74.31 76.27 piab 5.25 3.9 13
77.69 75.85 piab 7 4.2 14
78.95 75.62 piab 6.25 4.5 14
77.55 72.01 piab 6 5.2 15
77.15 70.8 piab 7.5 5.3 15
76.45 70.55 piab 6.25 5.7 16
78.53 69.47 piab 6.5 4.8 15
50.25 77.22 piab 6.25 5.5 16
78.65 69.44 piab 5.5 3.5 12
74.58 65.78 piab 6 4.5 14
81.81 71.2 piab 7.5 4.9 15
82.15 72 piab 6.75 5.6 16
81.82 73.86 piab 5 3.8 13
81.86 77.54 piab 6 5 15
84.9 76.29 piab 5.75 4.3 14
84 68.54 piab 7 4.3 14
88.23 68.33 piab 5.75 4.8 15
89.48 68.17 piab 5.75 4 13
89.91 65.17 piab 5.75 4 13
89.64 71.51 piab 7.5 4.1 13
89.75 76.14 piab 8 5.9 16
93.09 76.3 piab 6.75 4.8 15
94.99 74.81 piab 8.75 5.5 16
93.76 69.2 piab 5.5 3.8 13
95.74 64.91 piab 5 4.4 14
99.34 57.6 piab 6 3.8 13
97.8 54.55 piab 5.25 3.8 13
50.84 78.61 piab 6.75 5.7 16
52.4 78.49 piab 6 4.8 15
53.53 77.26 piab 6 4.7 14
53.36 78.51 piab 5.75 5.1 15
68.43 50.25 soau 9 6.4 13
52.48 51.58 piab 11.5 7.5 19
